Text Content,Document,Codes,Start position,End position
nthing the calls for this.,issue9388_allCommentsText.doc,9388_non-argumentative,4565,4591
i single click to get into the explorer tree to use my mouse wheel to scroll up or down or to make a particular file highlighted.,issue9388_allCommentsText.doc,"9388_ground 1, 9388_support 1",4592,4721
"i dont want it to do anything, i dont want to flash another window i just want to scroll up or down without losing where i am in my file.",issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",4722,4859
"@bgse i don't like the comment ""Not sure what you are going for here, why would you actually (left-)click the file if you do not intend to do anything with it?"".",issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",4964,5125
i might do it because i missclicked it.,issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",5126,5165
"i might do it because i want to rename it, i might do it because im drunk and wanted to do something else, thats not really the point.",issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",5166,5300
the point is i am doing it and expect a result thats different to the one im getting.,issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",5301,5386
"it just doesn't feel really windowsy, and the single click open thing seems to use my years and years of muscle memory against me.",issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",5389,5519
"@sp4ceman No offense meant, guess coming from different platforms makes for different habits and expectations.",issue9388_allCommentsText.doc,9388_non-argumentative,5730,5840
"As for clicking the explorer tree for scroll wheel usage, you don't actually have to do that, it is sufficient to just hover the cursor over the explorer tree, and then you can start using the wheel without clicking first.",issue9388_allCommentsText.doc,"9388_ground 1, 9388_against 1",5843,6065
"Maybe there is some hacky-whacky way to get rid of preview mode via extension for now, might look into it a bit over the weekend.",issue9388_allCommentsText.doc,9388_non-argumentative,6068,6197
@bgse but for me the issue is that I like to pgup/pgdown in a file tree to quickly look in other folders.,issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",6307,6412
"My projects have many files and many folders maintained by many other devs, so it is not infrequent that I don't know yet what I'm looking for.",issue9388_allCommentsText.doc,"9388_ground 1, 9388_support 1",6413,6556
"Or to use the left arrow key to close the collapse the current folder, and down/up arrow to adjacent folders and right arrow to open one and look again.",issue9388_allCommentsText.doc,"9388_ground 1, 9388_support 1",6557,6709
Scrolling with the mouse can be somewhat slow when I'm trying to view a large range.,issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",6710,6794
"I've just updated to the latest version 1.8.1 this morning, and it seems that microsoft are not determined this additional option.",issue9388_allCommentsText.doc,9388_non-argumentative,6908,7038
I have to consider switching to another ide,issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",7109,7152
Updated the summary: such a setting should also control that a folder only expands on double click.,issue9388_allCommentsText.doc,9388_non-argumentative,7262,7361
@qwert789 and other interested people: i'm working on a pull request to implement this feature.,issue9388_allCommentsText.doc,9388_non-argumentative,7469,7564
"Do you expect this behaviour (single click to highlight, double click to open/toggle) everywhere else like search results, git changes, extensions, etc?",issue9388_allCommentsText.doc,9388_non-argumentative,7565,7717
"Wow, that's a great news.",issue9388_allCommentsText.doc,9388_non-argumentative,7868,7893
IMO it should be only implemented in the explorer.,issue9388_allCommentsText.doc,"9388_claim 2, 9388_support 2",7894,7944
"@finalclass to be clear, in explorer section, there are ""Open Editors"" pane and ""Explorer"" pane.",issue9388_allCommentsText.doc,9388_non-argumentative,8052,8148
"I assume you are only referring to ""Explorer"" pane?",issue9388_allCommentsText.doc,9388_non-argumentative,8149,8200
I'll wait 1-2 days to see any other opinion,issue9388_allCommentsText.doc,9388_non-argumentative,8203,8246
"I think the behavior should be the same in all panes of the explorer section, ""open editors"" and ""explorer"".",issue9388_allCommentsText.doc,"9388_claim 2, 9388_against 2",8574,8682
"to me this is a change in behavior of clicking on the filenames, and it shouldn't differ just because i clicked on a filename a few nodes higher in the same ""viewport"".",issue9388_allCommentsText.doc,"9388_against 2, 9388_warrant 2",8683,8851
"Either way, this change is a welcome update and I appreciate your work on this for us.",issue9388_allCommentsText.doc,9388_non-argumentative,8852,8938
"@benedictleejh i hate typos the reverse meaning, but it appears you understood my intent perfectly, I typoed ""should differ"" where it should have said ""shoudn't differ"" (and i've since edited away said typo), basically, let's make it consistent.",issue9388_allCommentsText.doc,9388_non-argumentative,9564,9809
"I think that's what you read from my comment, thankfully.",issue9388_allCommentsText.doc,9388_non-argumentative,9810,9867
seem like most people agree on making it consistent and applying this behaviour to all other places,issue9388_allCommentsText.doc,9388_non-argumentative,9975,10074
"if so, here are the places that I can think of to modify, let me know if I miss out any place ( @bpasero ):",issue9388_allCommentsText.doc,9388_non-argumentative,10077,10184
1.         Explorer tab - **Open Editors** pane,issue9388_allCommentsText.doc,9388_non-argumentative,10187,10234
2.         Explorer tab - **Explorer** pane,issue9388_allCommentsText.doc,9388_non-argumentative,10235,10278
3.         Search tab - **Search result** pane,issue9388_allCommentsText.doc,9388_non-argumentative,10430,10476
4.         Git tab - **Changes** pane,issue9388_allCommentsText.doc,9388_non-argumentative,10633,10670
5.         Debugger tab - **Variables** pane,issue9388_allCommentsText.doc,9388_non-argumentative,10817,10861
6.         Debugger tab - **Watch** pane,issue9388_allCommentsText.doc,9388_non-argumentative,10862,10902
7.         Debugger tab - **Callstack** pane,issue9388_allCommentsText.doc,9388_non-argumentative,10903,10947
8.         Debugger tab - **Breakpoint** pane,issue9388_allCommentsText.doc,9388_non-argumentative,10948,10993
9.         Extensions tab,issue9388_allCommentsText.doc,9388_non-argumentative,11145,11170
10.         **Find All References** result,issue9388_allCommentsText.doc,9388_non-argumentative,11324,11366
11.         **Problems** view,issue9388_allCommentsText.doc,9388_non-argumentative,11533,11562
"@hpcsc there is also the ""Problems"" view where this applies.",issue9388_allCommentsText.doc,9388_non-argumentative,11827,11887
+1 for changing this everywhere.,issue9388_allCommentsText.doc,"9388_claim 2, 9388_against 2",11890,11922
Please also keep in mind that I think collapse/expand should only work on double click.,issue9388_allCommentsText.doc,"9388_claim 3, 9388_support 3",11923,12010
The easiest to find all places where a tree is used might be to just check for references to the `Tree` widget everywhere.,issue9388_allCommentsText.doc,9388_non-argumentative,12013,12135
@bpaseroI updated with 2 more places:,issue9388_allCommentsText.doc,9388_non-argumentative,12243,12281
12.         **Find All References** result,issue9388_allCommentsText.doc,9388_non-argumentative,12282,12324
13.         **Problems** view,issue9388_allCommentsText.doc,9388_non-argumentative,12325,12354
"Do you mean collapse/expand should apply in all cases, doesn't matter the `openOnSelect` setting is on or off?",issue9388_allCommentsText.doc,9388_non-argumentative,12357,12467
"I have found most of places, however still have some doubts.",issue9388_allCommentsText.doc,9388_non-argumentative,12470,12530
Thanks for your help,issue9388_allCommentsText.doc,9388_non-argumentative,12575,12595
"My feeling is that this setting should be named in a way that it makes more clear what it does: when enabled, a single click on a tree node is doing only selection, but neither open nor expand/collapse.",issue9388_allCommentsText.doc,"9388_claim 4, 9388_support 4",12705,12907
Only a double click invokes the default action on a tree node (which is toggle expand/collapse for a node with children and opening otherwise).,issue9388_allCommentsText.doc,"9388_claim 4, 9388_support 4",12908,13051
e.g. Eclipse does it:,issue9388_allCommentsText.doc,"9388_ground 4, 9388_support 4",13198,13219
N30,issue9388_allCommentsText.doc,9388_non-argumentative,13442,13445
"I put it under `workbench` since now it's applicable to everywhere, not just the sidebar",issue9388_allCommentsText.doc,9388_non-argumentative,14262,14350
"@bpasero Good idea, I can rename it to `workbench.openMode` with 2 values: `singleClick` or `doubleClick`",issue9388_allCommentsText.doc,9388_non-argumentative,14156,14261
Sounds good.,issue9388_allCommentsText.doc,9388_non-argumentative,14460,14472
Any news on this irritating single click preview mode?,issue9388_allCommentsText.doc,9388_non-argumentative,14583,14637
"Sorry, didn't have much time to look into this again.",issue9388_allCommentsText.doc,9388_non-argumentative,14747,14800
As it stands right now we need to clean up some debt first in the area of tree usage throughout our code before we can ask for a PR again.,issue9388_allCommentsText.doc,9388_non-argumentative,14801,14939
There are many reasons for this - I don't mentioned it so much because I accepted it - but good this issue exists.,issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",15048,15162
"As alternative, a little bit hidden solution, I just want to mention that it could differ where you click the filesystem entry.",issue9388_allCommentsText.doc,"9388_claim 5, 9388_support 5",15396,15523
"For example if clicking the icon or the space before it could be just a select, if click the file name or the space after it it stays with the current behaviour.",issue9388_allCommentsText.doc,"9388_claim 5, 9388_support 5",15524,15685
but I understand if you are not ready for experiments like this.,issue9388_allCommentsText.doc,9388_non-argumentative,15734,15798
Any news on this?,issue9388_allCommentsText.doc,9388_non-argumentative,15908,15925
I would like it.,issue9388_allCommentsText.doc,"9388_claim 1, 9388_support 1",15926,15942
Its one of the only things keeping me with IntelliJ,issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",15943,15994
???,issue9388_allCommentsText.doc,9388_non-argumentative,16103,16106
waiting for this.,issue9388_allCommentsText.doc,"9388_claim 1, 9388_support 1",16572,16589
"yeah, me too.",issue9388_allCommentsText.doc,"9388_claim 1, 9388_support 1",16702,16715
The way clicking works on explorer now is just too annoying and overshadows the goodies that are included in vscode.,issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",16716,16832
"That doesn't fix this, that makes it so when you single click on a file it doesn't open as a temporary file, but as a permanent file, it does not change the single click to open to a double click.",issue9388_allCommentsText.doc,9388_non-argumentative,16942,17138
This was unexpected behavior when I first opened the editor.,issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",17275,17335
I was surprised that I couldn't find a setting to disable the single click.,issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",17336,17411
there is no way to disable single click preview.,issue9388_allCommentsText.doc,"9388_ground 1, 9388_support 1",17536,17584
it is very annoying.,issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",17585,17605
Oh man... this thing is really annoying!!!!,issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",17724,17767
Please just include some new property where a developer can disable/enable it,issue9388_allCommentsText.doc,"9388_claim 1, 9388_support 1",17768,17845
Annoying as hell indeed.,issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",17954,17978
"""workbench.editor.enablePreview"": false,""workbench.editor.enablePreviewFromQuickOpen"": false",issue9388_allCommentsText.doc,9388_non-argumentative,18532,18625
"The single-click folder expand/collapse is the most annoying thing about VS Code, which is otherwise a brilliant editor.",issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",18249,18369
Please add an option in the preferences for this.,issue9388_allCommentsText.doc,"9388_claim 1, 9388_support 1",18370,18419
"In Case you misunderstood the above comment like I did, it is actually giving a middle finger to the fact that the above options doesn't fix the problem.",issue9388_allCommentsText.doc,9388_non-argumentative,18988,19141
"""These two settings do not solve the problem, wasting my mother for a long time"" - Google translate",issue9388_allCommentsText.doc,9388_non-argumentative,19142,19241
"It doesn't change the fact that his comment is worthless, like most of others who just bump the thread for no reason - by repeating something that have already been said.",issue9388_allCommentsText.doc,9388_non-argumentative,19348,19518
"Please, use *Reactions* - add +1 on the main post, and move on if you don't have anything relevant to say.",issue9388_allCommentsText.doc,9388_non-argumentative,19519,19625
Any news?,issue9388_allCommentsText.doc,9388_non-argumentative,19738,19747
"Please provider a ""double click"" model.",issue9388_allCommentsText.doc,"9388_claim 1, 9388_support 1",19748,19787
i want to doubleclick to open ...,issue9388_allCommentsText.doc,"9388_claim 1, 9388_support 1",19897,19931
Doubleclick for file opening +1,issue9388_allCommentsText.doc,"9388_claim 1, 9388_support 1",20072,20103
Doubleclick for file opening +1,issue9388_allCommentsText.doc,"9388_claim 1, 9388_support 1",20212,20243
Any news?,issue9388_allCommentsText.doc,9388_non-argumentative,20366,20375
"Please provider a ""double click to open file"" model.",issue9388_allCommentsText.doc,"9388_claim 1, 9388_support 1",20376,20428
I expected the annual year that,issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",20429,20460
Doubleclick for file opening +1,issue9388_allCommentsText.doc,"9388_claim 1, 9388_support 1",20607,20638
The single-click preview makes bad the best editor around,issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",20641,20698
Doubleclick for file opening and folder expand !,issue9388_allCommentsText.doc,"9388_claim 1, 9388_support 1",20810,20858
"I'm wanted to use VS for my new projects, but this 'feature' makes me hate it instead..",issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",21007,21094
I find this very annoying myself too!,issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",20969,21006
"Same here, pretty annoying lack of feature ...",issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",21206,21252
UGH. Happy New Year and another year of single clicking.,issue9388_allCommentsText.doc,9388_non-argumentative,21362,21418
I use a Wacom pen with one button set to double click and I'm so used to doing this in Visual Studio that now I'm working with VSCode I end up opening and closing a folder instead of opening it.,issue9388_allCommentsText.doc,"9388_ground 1, 9388_support 1",21421,21615
Super annoying when switching between IDEs.,issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",21616,21659
With single click it just feels much more 'fragile' somehow - like I'm going to break it.,issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",21660,21749
I know that doesn't make total sense but it's how it feels.,issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",21750,21809
Please create a setting for this.,issue9388_allCommentsText.doc,"9388_claim 1, 9388_support 1",21923,21956
"If a developer prefers to single-click or double-click, so be it.",issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",22067,22132
"Neither option should be forced across the board, especially for as configurable as VSCode is.",issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",22133,22227
"How can so much be configurable in VSCode, yet this simple setting does not exist?",issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",21957,22039
There is no reason for it.,issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",22040,22066
Is there any extension to fix this problem?,issue9388_allCommentsText.doc,9388_non-argumentative,22378,22421
I'm unable to find anything as this far.,issue9388_allCommentsText.doc,9388_non-argumentative,22422,22462
I hate VS Code PreView....,issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",22576,22602
I don't want this fucking PreView!!!!,issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",22603,22640
I want to double-click to open a new tab..............,issue9388_allCommentsText.doc,"9388_claim 1, 9388_support 1",22641,22695
"DO NOT copy the style from Sublime, Atom or any else..................",issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",22696,22766
I can't understand why you would want to click on a file if you don't want to actually do something with it?,issue9388_allCommentsText.doc,"9388_against 1, 9388_warrant 1",22877,22985
I do agree that there could be an option for this.,issue9388_allCommentsText.doc,"9388_claim 1, 9388_support 1",23111,23161
Why?,issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",23297,23301
When in windows explorer or mac's finder you click on a file it does not automatically open but it just focuses it.,issue9388_allCommentsText.doc,"9388_ground 1, 9388_support 1",23328,23443
this single issue is still driving me crazy.,issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",23764,23808
It's the most annoying thing of VSCode and I can't get use to it no matter how I try.,issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",23809,23894
Judging on the number of comments in this topic I see that I'm not alone.,issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",23895,23968
I understand why someone would like it to work as it is right now thus I think this should be an option.,issue9388_allCommentsText.doc,"9388_claim 1, 9388_support 1",23969,24073
Even better solution would be to provide the ability to write custom plugins that would replace Explorer completely.,issue9388_allCommentsText.doc,"9388_claim 6, 9388_support 6",24074,24190
VSCode team please give an update on this feature.,issue9388_allCommentsText.doc,9388_non-argumentative,24193,24243
Will you ever plan to solve it?,issue9388_allCommentsText.doc,9388_non-argumentative,24244,24276
It has been reported 1.5 years ago and there is still no update on this one;(,issue9388_allCommentsText.doc,9388_non-argumentative,24276,24353
@fractalf i cant scroll the explorer up and down without activating the window.,issue9388_allCommentsText.doc,"9388_ground 1, 9388_support 1",24464,24543
i cant activate the window without clicking on something.,issue9388_allCommentsText.doc,"9388_ground 1, 9388_support 1",24544,24601
normally the something in a file explorer is a file so thats what normally gets clicked on.,issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",24602,24693
this is normal windows behaviour.,issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",24694,24727
previewing what i just clicked on is not normal windows behaviour.,issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",24730,24796
"Well, I discovered that the event listener for the explorer is located in TreeView.ts, which is located on the cloud, not local.",issue9388_allCommentsText.doc,9388_non-argumentative,25021,25149
The question is:Is it possible to override the event by writing an extension?,issue9388_allCommentsText.doc,9388_non-argumentative,25152,25230
It's a bloody annoying feature for sure.,issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",25342,25382
`workbench.editor.enablePreview --> false` at least gets rid of the preview feature.,issue9388_allCommentsText.doc,"9388_ground 1, 9388_support 1",25383,25467
"I'm finding the default of, ""Click a file to preview"" and ""Click a folder to collapse/expand"" really tiring for the very simple operation of copying and pasting files.",issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",25762,25929
There is an arrow to indicate that a folder is collapsed or expanded.,issue9388_allCommentsText.doc,"9388_ground 1, 9388_support 1",26126,26195
I would expect that clicking the title simply gave the folder focus.,issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",26196,26264
I would expect to click the arrow to expand or collapse the folder.,issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",26265,26332
"I would actually like to cut and paste files to move them, something that seems supported in most IDEs.",issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",26344,26447
"But I can't ""cut"" a file.",issue9388_allCommentsText.doc,"9388_ground 1, 9388_support 1",26448,26473
@StanleyGoldman You can move files and folders with drag&drop.,issue9388_allCommentsText.doc,"9388_ground 1, 9388_against 1",26584,26646
@montapro copy paste is more user friendly since sometimes you have a lot of files and directories expanded and you have to scroll a lot to drop a dragged file.,issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",26759,26919
Added `workbench.list.openMode: singleClick |Â doubleClick`.,issue9388_allCommentsText.doc,9388_non-argumentative,27480,27540
"@bpasero Commit, Release, Ship it !",issue9388_allCommentsText.doc,9388_non-argumentative,27650,27685
That's music to my ears!!!,issue9388_allCommentsText.doc,9388_non-argumentative,27920,27946
ðª,issue9388_allCommentsText.doc,9388_non-argumentative,27797,27801
"Oops, I mean, a collyrium to my eyes!!!",issue9388_allCommentsText.doc,9388_non-argumentative,27947,27986
xD Looking forward to it!,issue9388_allCommentsText.doc,9388_non-argumentative,27987,28012
Big thanks @bpasero,issue9388_allCommentsText.doc,9388_non-argumentative,28013,28032
Can I hear a big halleluiah from my bros and sistas?,issue9388_allCommentsText.doc,9388_non-argumentative,28035,28087
Thanks,issue9388_allCommentsText.doc,9388_non-argumentative,28204,28210
Finally!,issue9388_allCommentsText.doc,9388_non-argumentative,28320,28328
Thank you!,issue9388_allCommentsText.doc,9388_non-argumentative,28329,28339
When it will be released?,issue9388_allCommentsText.doc,9388_non-argumentative,28340,28365
@pohybel > bpasero (Benjamin Pasero) added this to the January 2018 milestone 5 hours ago,issue9388_allCommentsText.doc,9388_non-argumentative,28476,28567
thank you!,issue9388_allCommentsText.doc,9388_non-argumentative,28678,28688
This will be in todays insider build to try out.,issue9388_allCommentsText.doc,9388_non-argumentative,28800,28848
You can give our preview releases a try from: https://code.visualstudio.com/insiders/,issue9388_allCommentsText.doc,9388_non-argumentative,28849,28934
"@bpasero Just tried it out in the insiders build. While it works great, there is an usability issue.",issue9388_allCommentsText.doc,9388_non-argumentative,29046,29146
The tree in the explorer must be expandable in single click and the file should be opened by double click.,issue9388_allCommentsText.doc,"9388_claim 3, 9388_against 3",29149,29255
I am using my keyboards arrow key for opening up trees now due to this.,issue9388_allCommentsText.doc,"9388_ground 3, 9388_against 3",29357,29428
"If both configs could be separated, it would be great.",issue9388_allCommentsText.doc,"9388_claim 7, 9388_support 7",29431,29485
I would prefer to expand tree on single click and open on double click (hope it makes sense).,issue9388_allCommentsText.doc,"9388_claim 3, 9388_against 3",29486,29579
That is how Atom and most of the editors behave.,issue9388_allCommentsText.doc,"9388_ground 3, 9388_against 3",29580,29628
Love the great work you guys are doing for vscode.,issue9388_allCommentsText.doc,9388_non-argumentative,29631,29681
Keep it up.,issue9388_allCommentsText.doc,9388_non-argumentative,29682,29693
@tvvignesh that would be inconsistent with vscode itself as well as all other apps with a tree view that work the same way.,issue9388_allCommentsText.doc,"9388_warrant 3, 9388_support 3",29918,30041
The little triangle is there for single click operations.,issue9388_allCommentsText.doc,"396_warrant 8, 9388_support 8",30042,30099
"""Most editors"" certainly not intelliJ, windows explorer, nautilus etc.",issue9388_allCommentsText.doc,"9388_ground 3, 9388_support 3",30102,30172
"I agree on the desire to expand a tree node with single-click if clicking onto the twistie, for that I opened: https://github.com/Microsoft/vscode/issues/42621",issue9388_allCommentsText.doc,"9388_claim 8, 9388_support 8",30282,30441
I agree with @luispabon.,issue9388_allCommentsText.doc,"9388_warrant 8, 9388_support 8",30707,30731
"Maybe thats an option, @bpasero?",issue9388_allCommentsText.doc,"9388_claim 8, 9388_support 8",30911,30943
@bpasero: looks like you are already working on it.,issue9388_allCommentsText.doc,9388_non-argumentative,31579,31630
Thanks.,issue9388_allCommentsText.doc,9388_non-argumentative,31631,31638
I tried clicking on triangle.,issue9388_allCommentsText.doc,"9388_ground 8, 9388_support 8",31055,31084
Did not work.,issue9388_allCommentsText.doc,"9388_ground 8, 9388_support 8",31085,31098
Had to double click to get it to expand.,issue9388_allCommentsText.doc,"9388_ground 8, 9388_support 8",31099,31139
"Also, the triangle is too small.",issue9388_allCommentsText.doc,"9388_claim 9, 9388_support 9",31140,31172
Please check atom.,issue9388_allCommentsText.doc,"9388_ground 8, 9388_support 8",31173,31191
Looking for the same functionality..,issue9388_allCommentsText.doc,"9388_ground 8, 9388_support 8",31192,31228
"Single click to select or expand, double click to open.",issue9388_allCommentsText.doc,"9388_claim 8, 9388_support 8",31231,31286
"I tried opening the same project in both vscode and atom, tried expanding and I could clearly see the change in usability.",issue9388_allCommentsText.doc,"9388_warrant 8, 9388_support 8",31287,31409
Just my feedback here.,issue9388_allCommentsText.doc,9388_non-argumentative,31410,31432
In VSCode it automatically opens in a weird `preview` state.,issue9388_allCommentsText.doc,"9388_ground 1, 9388_support 1",23444,23504
Then when it's opened in this `preview` state and you will not notice that and click on another file to open another file then your first file will automatically close because it has been in this `preview` state.,issue9388_allCommentsText.doc,"9388_ground 1, 9388_support 1",23505,23717
its like someone moved my cheese.,issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",5520,5553
Disclaimer: VSCode is still amazing. :),issue9388_allCommentsText.doc,9388_non-argumentative,22228,22267
Even in Visual Studio you have to double-click a folder to expand/collapse in the tree view.,issue9388_allCommentsText.doc,"9388_ground 8, 9388_support 8",30732,30824
normally do this a lot when triple checking paths etc and its nice to just have the file highlighted.,issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",4860,4961
"I am really disappointed, I really hate the preview feature horribly.",issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",7039,7108
nothing in windows behaves this way its non standard and in a year of daily usage of vscode it still feels weird.,issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",24797,24910
Yes.,issue9388_allCommentsText.doc,9388_non-argumentative,2902,2906
a setting that is opt in seems a nice balance to move my cheese back.,issue9388_allCommentsText.doc,"9388_claim 1, 9388_support 1",5554,5623
Thanks man :),issue9388_allCommentsText.doc,9388_non-argumentative,9441,9454
But you can click on the little triangle icon to expand/collapse with a single click.,issue9388_allCommentsText.doc,"9388_ground 8, 9388_support 8",30825,30910
ð 1,issue9388_allCommentsText.doc,9388_non-argumentative,20244,20250
I don't like it,issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",2150,2165
"adding files to the ""OPEN EDITORS"" group while I'm still selecting/scrolling for the file I want.",issue9388_allCommentsText.doc,"9388_ground 1, 9388_support 1",2166,2263
"With preview disabled, it should still require double click to open the file (imo)",issue9388_allCommentsText.doc,"9388_claim 1, 9388_support 1",2315,2397
-- this is how it worked in vs 2012-2013,issue9388_allCommentsText.doc,"9388_ground 1, 9388_support 1",2398,2438
"I don't use ""Open Editors"" at all, I keep it closed all the time",issue9388_allCommentsText.doc,"9388_ground 2, 9388_support 2",8359,8423
so I can't say how it should work there.,issue9388_allCommentsText.doc,"9388_claim 2, 9388_support 2",8424,8464
