Text Content,Document,Codes,Start position,End position,time_pre,author_pre,time_cur,author_cur,time_next,author_next,author_association
"@benedictleejh i hate typos the reverse meaning, but it appears you understood my intent perfectly, I typoed ""should differ"" where it should have said ""shoudn't differ"" (and i've since edited away said typo), basically, let's make it consistent.",issue9388_allCommentsText.doc,9388_non-argumentative,9564,9809,2017-01-05T18:27:01Z,ivalexa,2017-01-05T18:42:17Z,payonel,2017-01-06T02:49:30Z,hpcsc,NONE
"I think that's what you read from my comment, thankfully.",issue9388_allCommentsText.doc,9388_non-argumentative,9810,9867,2017-01-05T18:27:01Z,ivalexa,2017-01-05T18:42:17Z,payonel,2017-01-06T02:49:30Z,hpcsc,NONE
seem like most people agree on making it consistent and applying this behaviour to all other places,issue9388_allCommentsText.doc,9388_non-argumentative,9975,10074,2017-01-05T18:42:17Z,payonel,2017-01-06T02:49:30Z,hpcsc,2017-01-06T06:20:15Z,bpasero,NONE
"if so, here are the places that I can think of to modify, let me know if I miss out any place ( @bpasero ):",issue9388_allCommentsText.doc,9388_non-argumentative,10077,10184,2017-01-05T18:42:17Z,payonel,2017-01-06T02:49:30Z,hpcsc,2017-01-06T06:20:15Z,bpasero,NONE
1.         Explorer tab - **Open Editors** pane,issue9388_allCommentsText.doc,9388_non-argumentative,10187,10234,2017-01-05T18:42:17Z,payonel,2017-01-06T02:49:30Z,hpcsc,2017-01-06T06:20:15Z,bpasero,NONE
2.         Explorer tab - **Explorer** pane,issue9388_allCommentsText.doc,9388_non-argumentative,10235,10278,2017-01-05T18:42:17Z,payonel,2017-01-06T02:49:30Z,hpcsc,2017-01-06T06:20:15Z,bpasero,NONE
3.         Search tab - **Search result** pane,issue9388_allCommentsText.doc,9388_non-argumentative,10430,10476,2017-01-05T18:42:17Z,payonel,2017-01-06T02:49:30Z,hpcsc,2017-01-06T06:20:15Z,bpasero,NONE
4.         Git tab - **Changes** pane,issue9388_allCommentsText.doc,9388_non-argumentative,10633,10670,2017-01-05T18:42:17Z,payonel,2017-01-06T02:49:30Z,hpcsc,2017-01-06T06:20:15Z,bpasero,NONE
5.         Debugger tab - **Variables** pane,issue9388_allCommentsText.doc,9388_non-argumentative,10817,10861,2017-01-05T18:42:17Z,payonel,2017-01-06T02:49:30Z,hpcsc,2017-01-06T06:20:15Z,bpasero,NONE
6.         Debugger tab - **Watch** pane,issue9388_allCommentsText.doc,9388_non-argumentative,10862,10902,2017-01-05T18:42:17Z,payonel,2017-01-06T02:49:30Z,hpcsc,2017-01-06T06:20:15Z,bpasero,NONE
7.         Debugger tab - **Callstack** pane,issue9388_allCommentsText.doc,9388_non-argumentative,10903,10947,2017-01-05T18:42:17Z,payonel,2017-01-06T02:49:30Z,hpcsc,2017-01-06T06:20:15Z,bpasero,NONE
8.         Debugger tab - **Breakpoint** pane,issue9388_allCommentsText.doc,9388_non-argumentative,10948,10993,2017-01-05T18:42:17Z,payonel,2017-01-06T02:49:30Z,hpcsc,2017-01-06T06:20:15Z,bpasero,NONE
9.         Extensions tab,issue9388_allCommentsText.doc,9388_non-argumentative,11145,11170,2017-01-05T18:42:17Z,payonel,2017-01-06T02:49:30Z,hpcsc,2017-01-06T06:20:15Z,bpasero,NONE
10.         **Find All References** result,issue9388_allCommentsText.doc,9388_non-argumentative,11324,11366,2017-01-05T18:42:17Z,payonel,2017-01-06T02:49:30Z,hpcsc,2017-01-06T06:20:15Z,bpasero,NONE
11.         **Problems** view,issue9388_allCommentsText.doc,9388_non-argumentative,11533,11562,2017-01-05T18:42:17Z,payonel,2017-01-06T02:49:30Z,hpcsc,2017-01-06T06:20:15Z,bpasero,NONE
"@hpcsc there is also the ""Problems"" view where this applies.",issue9388_allCommentsText.doc,9388_non-argumentative,11827,11887,2017-01-06T02:49:30Z,hpcsc,2017-01-06T06:20:15Z,bpasero,2017-01-06T06:28:59Z,hpcsc,MEMBER
+1 for changing this everywhere.,issue9388_allCommentsText.doc,"9388_claim 2, 9388_against 2",11890,11922,2017-01-06T02:49:30Z,hpcsc,2017-01-06T06:20:15Z,bpasero,2017-01-06T06:28:59Z,hpcsc,MEMBER
Please also keep in mind that I think collapse/expand should only work on double click.,issue9388_allCommentsText.doc,"9388_claim 3, 9388_support 3",11923,12010,2017-01-06T02:49:30Z,hpcsc,2017-01-06T06:20:15Z,bpasero,2017-01-06T06:28:59Z,hpcsc,MEMBER
The easiest to find all places where a tree is used might be to just check for references to the `Tree` widget everywhere.,issue9388_allCommentsText.doc,9388_non-argumentative,12013,12135,2017-01-06T02:49:30Z,hpcsc,2017-01-06T06:20:15Z,bpasero,2017-01-06T06:28:59Z,hpcsc,MEMBER
@bpaseroI updated with 2 more places:,issue9388_allCommentsText.doc,9388_non-argumentative,12243,12281,2017-01-06T06:20:15Z,bpasero,2017-01-06T06:28:59Z,hpcsc,2017-01-06T06:38:57Z,bpasero,NONE
12.         **Find All References** result,issue9388_allCommentsText.doc,9388_non-argumentative,12282,12324,2017-01-06T06:20:15Z,bpasero,2017-01-06T06:28:59Z,hpcsc,2017-01-06T06:38:57Z,bpasero,NONE
13.         **Problems** view,issue9388_allCommentsText.doc,9388_non-argumentative,12325,12354,2017-01-06T06:20:15Z,bpasero,2017-01-06T06:28:59Z,hpcsc,2017-01-06T06:38:57Z,bpasero,NONE
"Do you mean collapse/expand should apply in all cases, doesn't matter the `openOnSelect` setting is on or off?",issue9388_allCommentsText.doc,9388_non-argumentative,12357,12467,2017-01-06T06:20:15Z,bpasero,2017-01-06T06:28:59Z,hpcsc,2017-01-06T06:38:57Z,bpasero,NONE
"I have found most of places, however still have some doubts.",issue9388_allCommentsText.doc,9388_non-argumentative,12470,12530,2017-01-06T06:20:15Z,bpasero,2017-01-06T06:28:59Z,hpcsc,2017-01-06T06:38:57Z,bpasero,NONE
Thanks for your help,issue9388_allCommentsText.doc,9388_non-argumentative,12575,12595,2017-01-06T06:20:15Z,bpasero,2017-01-06T06:28:59Z,hpcsc,2017-01-06T06:38:57Z,bpasero,NONE
"My feeling is that this setting should be named in a way that it makes more clear what it does: when enabled, a single click on a tree node is doing only selection, but neither open nor expand/collapse.",issue9388_allCommentsText.doc,"9388_claim 4, 9388_support 4",12705,12907,2017-01-06T06:28:59Z,hpcsc,2017-01-06T06:38:57Z,bpasero,2017-01-06T06:39:49Z,bpasero,MEMBER
Only a double click invokes the default action on a tree node (which is toggle expand/collapse for a node with children and opening otherwise).,issue9388_allCommentsText.doc,"9388_claim 4, 9388_support 4",12908,13051,2017-01-06T06:28:59Z,hpcsc,2017-01-06T06:38:57Z,bpasero,2017-01-06T06:39:49Z,bpasero,MEMBER
e.g. Eclipse does it:,issue9388_allCommentsText.doc,"9388_ground 4, 9388_support 4",13198,13219,2017-01-06T06:38:57Z,bpasero,2017-01-06T06:39:49Z,bpasero,2017-01-06T06:43:19Z,R3V07T,MEMBER
N30,issue9388_allCommentsText.doc,9388_non-argumentative,13442,13445,2017-01-06T06:39:49Z,bpasero,2017-01-06T06:43:19Z,R3V07T,2017-01-06T06:43:34Z,hpcsc,NONE
"I put it under `workbench` since now it's applicable to everywhere, not just the sidebar",issue9388_allCommentsText.doc,9388_non-argumentative,14262,14350,2017-01-06T06:43:19Z,R3V07T,2017-01-06T06:43:34Z,hpcsc,2017-01-06T07:00:04Z,bpasero,NONE
"@bpasero Good idea, I can rename it to `workbench.openMode` with 2 values: `singleClick` or `doubleClick`",issue9388_allCommentsText.doc,9388_non-argumentative,14156,14261,2017-01-06T06:43:19Z,R3V07T,2017-01-06T06:43:34Z,hpcsc,2017-01-06T07:00:04Z,bpasero,NONE
Sounds good.,issue9388_allCommentsText.doc,9388_non-argumentative,14460,14472,2017-01-06T06:43:34Z,hpcsc,2017-01-06T07:00:04Z,bpasero,2017-04-06T14:33:54Z,pantonis,MEMBER
Any news on this irritating single click preview mode?,issue9388_allCommentsText.doc,9388_non-argumentative,14583,14637,2017-01-06T07:00:04Z,bpasero,2017-04-06T14:33:54Z,pantonis,2017-04-06T16:35:07Z,bpasero,NONE
"Sorry, didn't have much time to look into this again.",issue9388_allCommentsText.doc,9388_non-argumentative,14747,14800,2017-04-06T14:33:54Z,pantonis,2017-04-06T16:35:07Z,bpasero,2017-04-25T21:10:01Z,aight8,MEMBER
As it stands right now we need to clean up some debt first in the area of tree usage throughout our code before we can ask for a PR again.,issue9388_allCommentsText.doc,9388_non-argumentative,14801,14939,2017-04-06T14:33:54Z,pantonis,2017-04-06T16:35:07Z,bpasero,2017-04-25T21:10:01Z,aight8,MEMBER
There are many reasons for this - I don't mentioned it so much because I accepted it - but good this issue exists.,issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",15048,15162,2017-04-06T16:35:07Z,bpasero,2017-04-25T21:10:01Z,aight8,2017-08-10T13:07:06Z,ShayBox,NONE
"As alternative, a little bit hidden solution, I just want to mention that it could differ where you click the filesystem entry.",issue9388_allCommentsText.doc,"9388_claim 5, 9388_support 5",15396,15523,2017-04-06T16:35:07Z,bpasero,2017-04-25T21:10:01Z,aight8,2017-08-10T13:07:06Z,ShayBox,NONE
"For example if clicking the icon or the space before it could be just a select, if click the file name or the space after it it stays with the current behaviour.",issue9388_allCommentsText.doc,"9388_claim 5, 9388_support 5",15524,15685,2017-04-06T16:35:07Z,bpasero,2017-04-25T21:10:01Z,aight8,2017-08-10T13:07:06Z,ShayBox,NONE
but I understand if you are not ready for experiments like this.,issue9388_allCommentsText.doc,9388_non-argumentative,15734,15798,2017-04-06T16:35:07Z,bpasero,2017-04-25T21:10:01Z,aight8,2017-08-10T13:07:06Z,ShayBox,NONE
Any news on this?,issue9388_allCommentsText.doc,9388_non-argumentative,15908,15925,2017-04-25T21:10:01Z,aight8,2017-08-10T13:07:06Z,ShayBox,2017-08-16T18:24:19Z,R3V07T,NONE
I would like it.,issue9388_allCommentsText.doc,"9388_claim 1, 9388_support 1",15926,15942,2017-04-25T21:10:01Z,aight8,2017-08-10T13:07:06Z,ShayBox,2017-08-16T18:24:19Z,R3V07T,NONE
Its one of the only things keeping me with IntelliJ,issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",15943,15994,2017-04-25T21:10:01Z,aight8,2017-08-10T13:07:06Z,ShayBox,2017-08-16T18:24:19Z,R3V07T,NONE
???,issue9388_allCommentsText.doc,9388_non-argumentative,16103,16106,2017-08-10T13:07:06Z,ShayBox,2017-08-16T18:24:19Z,R3V07T,2017-08-17T07:06:27Z,dinhtuan1991vt,NONE
waiting for this.,issue9388_allCommentsText.doc,"9388_claim 1, 9388_support 1",16572,16589,2017-08-16T18:24:19Z,R3V07T,2017-08-17T07:06:27Z,dinhtuan1991vt,2017-08-17T07:36:08Z,finalclass,NONE
"yeah, me too.",issue9388_allCommentsText.doc,"9388_claim 1, 9388_support 1",16702,16715,2017-08-17T07:06:27Z,dinhtuan1991vt,2017-08-17T07:36:08Z,finalclass,2017-08-17T19:10:59Z,ShayBox,NONE
The way clicking works on explorer now is just too annoying and overshadows the goodies that are included in vscode.,issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",16716,16832,2017-08-17T07:06:27Z,dinhtuan1991vt,2017-08-17T07:36:08Z,finalclass,2017-08-17T19:10:59Z,ShayBox,NONE
"That doesn't fix this, that makes it so when you single click on a file it doesn't open as a temporary file, but as a permanent file, it does not change the single click to open to a double click.",issue9388_allCommentsText.doc,9388_non-argumentative,16942,17138,2017-08-17T07:36:08Z,finalclass,2017-08-17T19:10:59Z,ShayBox,2017-08-22T15:22:46Z,chriscarpenter12,NONE
This was unexpected behavior when I first opened the editor.,issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",17275,17335,2017-08-17T19:10:59Z,ShayBox,2017-08-22T15:22:46Z,chriscarpenter12,2017-08-28T03:34:40Z,superTechnologist,NONE
I was surprised that I couldn't find a setting to disable the single click.,issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",17336,17411,2017-08-17T19:10:59Z,ShayBox,2017-08-22T15:22:46Z,chriscarpenter12,2017-08-28T03:34:40Z,superTechnologist,NONE
there is no way to disable single click preview.,issue9388_allCommentsText.doc,"9388_ground 1, 9388_support 1",17536,17584,2017-08-22T15:22:46Z,chriscarpenter12,2017-08-28T03:34:40Z,superTechnologist,2017-08-29T07:42:12Z,leonardonelson91,NONE
it is very annoying.,issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",17585,17605,2017-08-22T15:22:46Z,chriscarpenter12,2017-08-28T03:34:40Z,superTechnologist,2017-08-29T07:42:12Z,leonardonelson91,NONE
Oh man... this thing is really annoying!!!!,issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",17724,17767,2017-08-28T03:34:40Z,superTechnologist,2017-08-29T07:42:12Z,leonardonelson91,2017-08-29T11:12:33Z,qn0361,NONE
Please just include some new property where a developer can disable/enable it,issue9388_allCommentsText.doc,"9388_claim 1, 9388_support 1",17768,17845,2017-08-28T03:34:40Z,superTechnologist,2017-08-29T07:42:12Z,leonardonelson91,2017-08-29T11:12:33Z,qn0361,NONE
Annoying as hell indeed.,issue9388_allCommentsText.doc,"9388_warrant 1, 9388_support 1",17954,17978,2017-08-29T07:42:12Z,leonardonelson91,2017-08-29T11:12:33Z,qn0361,2017-09-26T07:40:29Z,gibbok,NONE
